id,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
23,53,No,Rarely,1219.0,Sales,2,Bachelor's Degree,Life Sciences,Not Satisfied at all,Female,78.0,Dissatisfied,Manager,Manager,Delighted,Married,15427.0,2,No,16,Satisfied,Satisfied,Unvested,31,3,Satisfied,25,8,3,7
24,38,No,Rarely,371.0,Research & Development,2,Associate Degree,Life Sciences,Delighted,Male,45.0,Satisfied,Entry Level,Research Scientist,Delighted,Single,3944.0,5,Yes,11,Satisfied,Satisfied,Unvested,6,3,Satisfied,3,2,1,2
26,24,No,Non,673.0,Research & Development,11,Basic Education,Other,Not Satisfied at all,Female,96.0,Delighted,Junior,Manufacturing Director,Satisfied,Divorced,4011.0,0,No,18,Satisfied,Delighted,Basic,5,5,Dissatisfied,4,2,1,3
27,36,Yes,Rarely,1218.0,Sales,9,Bachelor's Degree,Life Sciences,Satisfied,Male,82.0,Dissatisfied,Entry Level,Sales Representative,Not Satisfied at all,Single,3407.0,7,No,23,Delighted,Dissatisfied,Unvested,10,3,Satisfied,5,3,0,3
28,34,No,Rarely,419.0,Research & Development,7,Bachelor's Degree,Life Sciences,Not Satisfied at all,Female,53.0,Satisfied,Senior,Research Director,Dissatisfied,Single,11994.0,0,No,11,Satisfied,Satisfied,Unvested,13,4,Satisfied,12,6,2,11
30,21,No,Rarely,391.0,Research & Development,15,Basic Education,Life Sciences,Satisfied,Male,96.0,Satisfied,Entry Level,Research Scientist,Delighted,Single,1232.0,1,No,14,Satisfied,Delighted,Unvested,0,6,Satisfied,0,0,0,0
31,34,Yes,Rarely,699.0,Research & Development,6,No Formal Education,Medical,Dissatisfied,Male,83.0,Satisfied,Entry Level,Research Scientist,Not Satisfied at all,Single,2960.0,2,No,11,Satisfied,Satisfied,Unvested,8,2,Satisfied,4,2,1,3
32,53,No,Rarely,1282.0,Research & Development,5,Associate Degree,Unknown,Satisfied,Female,58.0,Satisfied,Executive,Manager,Satisfied,Divorced,19094.0,4,No,11,Satisfied,Delighted,Basic,26,3,Dissatisfied,14,13,4,8
33,32,Yes,Frequently,1125.0,Research & Development,16,No Formal Education,Life Sciences,Dissatisfied,Female,72.0,Not Satisfied at all,Entry Level,Research Scientist,Not Satisfied at all,Single,3919.0,1,Yes,22,Delighted,Dissatisfied,Unvested,10,5,Satisfied,10,2,6,7
35,42,No,Rarely,691.0,Sales,8,Bachelor's Degree,Marketing,Satisfied,Male,48.0,Satisfied,Junior,Sales Executive,Dissatisfied,Married,6825.0,0,No,11,Satisfied,Delighted,Basic,10,2,Satisfied,9,7,4,2
36,44,No,Rarely,477.0,Research & Development,7,Bachelor's Degree,Medical,Not Satisfied at all,Female,42.0,Dissatisfied,Senior,Healthcare Representative,Delighted,Married,10248.0,3,No,14,Satisfied,Delighted,Basic,24,4,Satisfied,22,6,5,17
38,46,No,Rarely,705.0,Sales,2,Bachelor's Degree,Marketing,Dissatisfied,Female,83.0,Satisfied,Executive,Manager,Not Satisfied at all,Single,18947.0,3,No,12,Satisfied,Delighted,Unvested,22,2,Dissatisfied,2,2,2,4
39,33,No,Rarely,924.0,Research & Development,2,Associate Degree,Medical,Satisfied,Male,78.0,Satisfied,Entry Level,Laboratory Technician,Delighted,Single,2496.0,4,No,11,Satisfied,Delighted,Unvested,7,3,Satisfied,1,1,0,0
40,44,No,Rarely,1459.0,Research & Development,10,Bachelor's Degree,Other,Delighted,Male,41.0,Satisfied,Junior,Healthcare Representative,Delighted,Married,6465.0,2,Yes,13,Satisfied,Delighted,Unvested,9,5,Delighted,4,2,1,3
41,30,No,Rarely,125.0,Research & Development,9,Basic Education,Medical,Delighted,Male,83.0,Dissatisfied,Entry Level,Laboratory Technician,Satisfied,Single,2206.0,1,No,13,Satisfied,Not Satisfied at all,Unvested,10,5,Satisfied,10,0,1,8
42,39,Yes,Rarely,895.0,Sales,5,Associate Degree,Technical Degree,Delighted,Male,56.0,Satisfied,Junior,Sales Representative,Delighted,Married,2086.0,3,No,14,Satisfied,Satisfied,Basic,19,6,Delighted,1,0,0,0
45,24,Yes,Rarely,813.0,Research & Development,1,Associate Degree,Medical,Dissatisfied,Male,61.0,Satisfied,Entry Level,Research Scientist,Delighted,Married,2293.0,2,Yes,16,Satisfied,Not Satisfied at all,Basic,6,2,Dissatisfied,2,0,2,0
46,43,No,Rarely,1273.0,Research & Development,2,Basic Education,Unknown,Delighted,Female,72.0,Delighted,Entry Level,Research Scientist,Satisfied,Divorced,2645.0,1,No,12,Satisfied,Delighted,Intermediate,6,3,Dissatisfied,5,3,1,4
47,50,Yes,Rarely,869.0,Sales,3,Basic Education,Marketing,Not Satisfied at all,Male,86.0,Dissatisfied,Entry Level,Sales Representative,Satisfied,Married,2683.0,1,Yes,14,Satisfied,Satisfied,Unvested,3,2,Satisfied,3,2,0,2
49,35,No,Rarely,890.0,Sales,2,Associate Degree,Marketing,Delighted,Female,97.0,Satisfied,Entry Level,Sales Representative,Delighted,Married,2014.0,1,No,13,Satisfied,Not Satisfied at all,Unvested,2,3,Satisfied,2,2,2,2
51,36,No,Rarely,852.0,Research & Development,5,Bachelor's Degree,Life Sciences,Dissatisfied,Female,82.0,Dissatisfied,Entry Level,Research Scientist,Not Satisfied at all,Married,3419.0,9,Yes,14,Satisfied,Delighted,Basic,6,3,Delighted,1,1,0,0
52,33,No,Frequently,1141.0,Sales,1,Associate Degree,Life Sciences,Satisfied,Female,42.0,Delighted,Junior,Sales Executive,Not Satisfied at all,Married,5376.0,2,No,19,Satisfied,Not Satisfied at all,Intermediate,10,3,Satisfied,5,3,1,3
53,35,No,Rarely,464.0,Research & Development,4,Basic Education,Other,Satisfied,Male,75.0,Satisfied,Entry Level,Laboratory Technician,Delighted,Divorced,1951.0,1,No,12,Satisfied,Satisfied,Basic,1,3,Satisfied,1,0,0,0
54,27,No,Rarely,1240.0,Research & Development,2,Bachelor's Degree,Life Sciences,Delighted,Female,33.0,Satisfied,Entry Level,Laboratory Technician,Not Satisfied at all,Divorced,2341.0,1,No,13,Satisfied,Delighted,Basic,1,6,Satisfied,1,0,0,0
55,26,Yes,Rarely,1357.0,Research & Development,25,Associate Degree,Life Sciences,Not Satisfied at all,Male,48.0,Not Satisfied at all,Entry Level,Laboratory Technician,Satisfied,Single,2293.0,1,No,12,Satisfied,Satisfied,Unvested,1,2,Dissatisfied,1,0,0,1
56,27,No,Frequently,994.0,Sales,8,Associate Degree,Life Sciences,Delighted,Male,37.0,Satisfied,Senior,Sales Executive,Satisfied,Single,8726.0,1,No,15,Satisfied,Delighted,Unvested,9,0,Satisfied,9,8,1,6
57,30,No,Frequently,721.0,Research & Development,1,Basic Education,Medical,Satisfied,Female,58.0,Satisfied,Junior,Laboratory Technician,Delighted,Single,4011.0,1,No,23,Delighted,Delighted,Unvested,12,2,Satisfied,12,8,3,7
58,41,Yes,Rarely,1360.0,Research & Development,12,Associate Degree,Technical Degree,Dissatisfied,Female,49.0,Satisfied,Executive,Research Director,Satisfied,Married,19545.0,1,No,12,Satisfied,Delighted,Unvested,23,0,Satisfied,22,15,15,8
60,34,No,Non,1065.0,Research & Development,23,Bachelor's Degree,Marketing,Dissatisfied,Male,72.0,Satisfied,Junior,Sales Executive,Satisfied,Single,4568.0,0,No,20,Delighted,Satisfied,Unvested,10,2,Satisfied,9,5,8,7
61,37,No,Rarely,408.0,Research & Development,19,Basic Education,Life Sciences,Dissatisfied,Male,73.0,Satisfied,Entry Level,Research Scientist,Dissatisfied,Married,3022.0,4,No,21,Delighted,Not Satisfied at all,Unvested,8,1,Satisfied,1,0,0,0
62,46,No,Frequently,1211.0,Sales,5,Bachelor's Degree,Marketing,Not Satisfied at all,Male,98.0,Satisfied,Junior,Sales Executive,Delighted,Unknown,5772.0,4,Yes,21,Delighted,Satisfied,Unvested,14,4,Satisfied,9,6,0,8
63,35,No,Rarely,1229.0,Research & Development,8,No Formal Education,Life Sciences,Delighted,Male,36.0,Delighted,Entry Level,Laboratory Technician,Delighted,Married,2269.0,1,No,19,Satisfied,Delighted,Unvested,1,2,Satisfied,1,0,0,1
64,48,Yes,Rarely,626.0,Research & Development,1,Basic Education,Life Sciences,Not Satisfied at all,Male,98.0,Dissatisfied,Senior,Laboratory Technician,Satisfied,Single,5381.0,9,Yes,13,Satisfied,Delighted,Unvested,23,2,Satisfied,1,0,0,0
65,28,Yes,Rarely,1434.0,Research & Development,5,Bachelor's Degree,Technical Degree,Satisfied,Male,50.0,Satisfied,Entry Level,Laboratory Technician,Satisfied,Single,3441.0,1,Yes,13,Satisfied,Satisfied,Unvested,2,3,Dissatisfied,2,2,2,2
68,44,No,Rarely,1488.0,Sales,1,Postgraduate,Marketing,Dissatisfied,Female,75.0,Satisfied,Junior,Sales Executive,Not Satisfied at all,Divorced,5454.0,5,Yes,21,Delighted,Satisfied,Basic,9,2,Dissatisfied,4,3,1,2
70,35,No,Non,1097.0,Research & Development,11,Basic Education,Medical,Satisfied,Male,79.0,Dissatisfied,Senior,Healthcare Representative,Not Satisfied at all,Married,9884.0,2,Yes,13,Satisfied,Satisfied,Basic,10,3,Satisfied,4,0,2,3
72,26,No,Rarely,1443.0,Sales,23,Associate Degree,Marketing,Satisfied,Female,47.0,Dissatisfied,Junior,Sales Executive,Delighted,Married,4157.0,7,Yes,19,Satisfied,Satisfied,Basic,5,2,Dissatisfied,2,2,0,0
73,33,No,Frequently,515.0,Research & Development,1,Basic Education,Life Sciences,Not Satisfied at all,Female,98.0,Satisfied,Senior,Research Director,Delighted,Single,13458.0,1,Yes,12,Satisfied,Satisfied,Unvested,15,1,Satisfied,15,14,8,12
74,35,No,Frequently,853.0,Sales,18,Postgraduate,Life Sciences,Dissatisfied,Male,71.0,Satisfied,Senior,Sales Executive,Not Satisfied at all,Married,9069.0,1,No,22,Delighted,Delighted,Basic,9,3,Dissatisfied,9,8,1,8
75,35,No,Rarely,1142.0,Research & Development,23,Bachelor's Degree,Medical,Satisfied,Female,30.0,Satisfied,Entry Level,Laboratory Technician,Not Satisfied at all,Married,4014.0,3,Yes,15,Satisfied,Satisfied,Basic,4,3,Satisfied,2,2,2,3
76,31,No,Rarely,655.0,Research & Development,7,Bachelor's Degree,Life Sciences,Delighted,Male,48.0,Satisfied,Junior,Laboratory Technician,Delighted,Divorced,5915.0,3,No,22,Delighted,Delighted,Basic,10,3,Dissatisfied,7,7,1,7
77,37,No,Rarely,1115.0,Research & Development,1,Bachelor's Degree,Life Sciences,Not Satisfied at all,Male,51.0,Dissatisfied,Junior,Manufacturing Director,Satisfied,Divorced,5993.0,1,No,18,Satisfied,Satisfied,Basic,7,3,Delighted,7,5,0,7
78,32,No,Rarely,427.0,Research & Development,1,Associate Degree,Medical,Not Satisfied at all,Male,33.0,Satisfied,Junior,Manufacturing Director,Delighted,Married,6162.0,1,No,22,Delighted,Dissatisfied,Basic,9,3,Satisfied,9,8,7,8
79,38,No,Frequently,653.0,Research & Development,29,Postgraduate,Life Sciences,Delighted,Female,50.0,Satisfied,Junior,Laboratory Technician,Delighted,Single,2406.0,1,No,11,Satisfied,Delighted,Unvested,10,2,Satisfied,10,3,9,9
80,50,No,Rarely,989.0,Research & Development,7,Basic Education,Medical,Dissatisfied,Female,43.0,Dissatisfied,Executive,Research Director,Satisfied,Divorced,18740.0,5,Yes,12,Satisfied,Delighted,Basic,29,2,Dissatisfied,27,3,13,8
81,36,No,Rarely,1435.0,Sales,25,Associate Degree,Life Sciences,Not Satisfied at all,Female,99.0,Satisfied,Senior,Sales Executive,Unknown,Single,7637.0,7,No,11,Satisfied,Delighted,Unvested,28,3,Dissatisfied,21,16,7,9
83,36,No,Rarely,1223.0,Research & Development,8,Associate Degree,Technical Degree,Satisfied,Female,59.0,Satisfied,Senior,Healthcare Representative,Satisfied,Divorced,10096.0,1,No,13,Satisfied,Dissatisfied,Executive,17,2,Satisfied,17,14,12,8
84,55,No,Rarely,836.0,Research & Development,8,Associate Degree,Medical,Delighted,Female,33.0,Satisfied,Manager,Manager,Satisfied,Divorced,14756.0,2,Yes,14,Satisfied,Satisfied,Executive,21,2,Satisfied,5,0,0,2
85,36,No,Frequently,1195.0,Research & Development,11,Associate Degree,Life Sciences,Dissatisfied,Male,95.0,Dissatisfied,Junior,Manufacturing Director,Dissatisfied,Single,6499.0,1,No,13,Satisfied,Satisfied,Unvested,6,3,Satisfied,6,5,0,3
86,45,No,Rarely,1339.0,Research & Development,7,Associate Degree,Life Sciences,Dissatisfied,Male,59.0,Satisfied,Senior,Research Scientist,Not Satisfied at all,Divorced,9724.0,2,No,17,Satisfied,Satisfied,Basic,25,2,Satisfied,1,0,0,0
88,35,No,Frequently,664.0,Research & Development,1,Associate Degree,Medical,Dissatisfied,Male,79.0,Satisfied,Entry Level,Research Scientist,Not Satisfied at all,Married,2194.0,4,No,13,Satisfied,Delighted,Basic,5,2,Dissatisfied,3,2,1,2
90,36,Yes,Rarely,318.0,Research & Development,9,Associate Degree,Medical,Delighted,Male,79.0,Dissatisfied,Entry Level,Research Scientist,Satisfied,Married,3388.0,0,Yes,17,Satisfied,Not Satisfied at all,Basic,2,0,Dissatisfied,1,0,0,1
91,59,No,Frequently,1225.0,Sales,1,No Formal Education,Life Sciences,Not Satisfied at all,Female,57.0,Dissatisfied,Junior,Sales Executive,Satisfied,Single,5473.0,7,No,11,Satisfied,Delighted,Unvested,20,2,Dissatisfied,4,3,1,3
94,29,No,Rarely,1328.0,Research & Development,2,Associate Degree,Life Sciences,Satisfied,Male,76.0,Satisfied,Entry Level,Research Scientist,Dissatisfied,Unknown,2703.0,0,No,23,Delighted,Delighted,Basic,6,3,Satisfied,5,4,0,4
95,31,No,Rarely,1082.0,Research & Development,1,Bachelor's Degree,Medical,Satisfied,Male,87.0,Satisfied,Entry Level,Research Scientist,Unknown,Single,2501.0,1,No,17,Satisfied,Dissatisfied,Unvested,1,4,Satisfied,1,1,1,0
96,32,No,Rarely,548.0,Research & Development,1,Associate Degree,Life Sciences,Dissatisfied,Male,66.0,Satisfied,Junior,Research Scientist,Dissatisfied,Married,6220.0,1,No,17,Satisfied,Dissatisfied,Intermediate,10,3,Satisfied,10,4,0,9
97,36,No,Rarely,132.0,Research & Development,6,Associate Degree,Life Sciences,Dissatisfied,Female,55.0,Delighted,Entry Level,Laboratory Technician,Delighted,Married,3038.0,3,No,12,Satisfied,Dissatisfied,Unvested,5,3,Satisfied,1,0,0,0
98,31,No,Rarely,746.0,Research & Development,8,Bachelor's Degree,Life Sciences,Satisfied,Female,61.0,Satisfied,Junior,Manufacturing Director,Delighted,Single,4424.0,1,No,23,Delighted,Delighted,Unvested,11,2,Satisfied,11,7,1,8
100,35,No,Rarely,776.0,Sales,1,Bachelor's Degree,Marketing,Satisfied,Male,32.0,Dissatisfied,Junior,Sales Executive,Not Satisfied at all,Single,4312.0,0,No,14,Satisfied,Dissatisfied,Unvested,16,2,Satisfied,15,13,2,8
101,45,No,Rarely,193.0,Research & Development,6,Bachelor's Degree,Other,Delighted,Male,52.0,Satisfied,Senior,Research Director,Not Satisfied at all,Married,13245.0,4,No,14,Satisfied,Dissatisfied,Unvested,17,3,Delighted,0,0,0,0
102,37,No,Rarely,397.0,Research & Development,7,Bachelor's Degree,Medical,Not Satisfied at all,Male,30.0,Satisfied,Senior,Research Director,Satisfied,Single,13664.0,4,No,13,Satisfied,Not Satisfied at all,Unvested,16,3,Delighted,5,2,0,1
103,46,No,Rarely,945.0,Human Resources,5,Basic Education,Medical,Dissatisfied,Male,80.0,Satisfied,Junior,Human Resources,Dissatisfied,Divorced,5021.0,8,Yes,22,Delighted,Delighted,Basic,16,2,Satisfied,4,2,0,2
104,30,No,Rarely,852.0,Research & Development,1,No Formal Education,Life Sciences,Delighted,Male,55.0,Dissatisfied,Junior,Laboratory Technician,Delighted,Married,5126.0,1,Yes,12,Satisfied,Satisfied,Intermediate,10,1,Dissatisfied,10,8,3,0
105,35,No,Rarely,1214.0,Research & Development,1,Associate Degree,Medical,Dissatisfied,Male,30.0,Dissatisfied,Entry Level,Research Scientist,Satisfied,Single,2859.0,1,No,18,Satisfied,Not Satisfied at all,Unvested,6,3,Satisfied,6,4,0,4
106,55,No,Rarely,111.0,Sales,1,Basic Education,Life Sciences,Not Satisfied at all,Male,70.0,Satisfied,Senior,Sales Executive,Delighted,Unknown,10239.0,3,No,14,Satisfied,Delighted,Basic,24,4,Satisfied,1,0,1,0
107,38,No,Non,573.0,Research & Development,6,Associate Degree,Medical,Dissatisfied,Female,79.0,Not Satisfied at all,Junior,Research Scientist,Delighted,Divorced,5329.0,7,Yes,12,Satisfied,Delighted,Executive,17,3,Satisfied,13,11,1,9
110,34,No,Rarely,1153.0,Research & Development,1,Basic Education,Medical,Not Satisfied at all,Male,94.0,Satisfied,Junior,Manufacturing Director,Dissatisfied,Married,4325.0,1,No,15,Satisfied,Satisfied,Unvested,5,2,Satisfied,5,2,1,3
112,56,No,Rarely,1400.0,Research & Development,7,Associate Degree,Life Sciences,Delighted,Male,49.0,Not Satisfied at all,Senior,Manufacturing Director,Delighted,Single,7260.0,4,No,11,Satisfied,Not Satisfied at all,Unvested,37,3,Dissatisfied,6,4,0,2
113,23,No,Rarely,541.0,Sales,2,No Formal Education,Technical Degree,Satisfied,Male,62.0,Satisfied,Entry Level,Sales Representative,Not Satisfied at all,Divorced,2322.0,3,No,13,Satisfied,Satisfied,Basic,3,3,Satisfied,0,0,0,0
116,51,No,Rarely,432.0,Research & Development,9,Bachelor's Degree,Life Sciences,Delighted,Male,96.0,Satisfied,Entry Level,Laboratory Technician,Delighted,Married,2075.0,3,No,23,Delighted,Dissatisfied,Intermediate,10,4,Satisfied,4,2,0,3
117,30,No,Rarely,288.0,Research & Development,2,Associate Degree,Life Sciences,Satisfied,Male,99.0,Dissatisfied,Junior,Healthcare Representative,Delighted,Married,4152.0,1,No,19,Satisfied,Not Satisfied at all,Executive,11,3,Satisfied,11,10,10,8
118,46,Yes,Rarely,669.0,Sales,9,Basic Education,Medical,Satisfied,Male,64.0,Dissatisfied,Senior,Sales Executive,Delighted,Single,9619.0,1,No,16,Satisfied,Delighted,Unvested,9,3,Satisfied,9,8,4,7
119,40,No,Frequently,530.0,Research & Development,1,Bachelor's Degree,Life Sciences,Satisfied,Male,78.0,Dissatisfied,Manager,Healthcare Representative,Dissatisfied,Married,13503.0,1,No,22,Delighted,Delighted,Basic,22,3,Dissatisfied,22,3,11,11
120,36,No,Rarely,632.0,Sales,21,Bachelor's Degree,Marketing,Satisfied,Male,71.0,Satisfied,Junior,Sales Executive,Delighted,Single,5441.0,0,Yes,22,Delighted,Delighted,Unvested,11,2,Not Satisfied at all,10,7,1,0
121,30,No,Rarely,1334.0,Sales,4,Basic Education,Medical,Satisfied,Female,63.0,Dissatisfied,Junior,Sales Executive,Dissatisfied,Divorced,5209.0,1,Yes,12,Satisfied,Dissatisfied,Executive,11,4,Dissatisfied,11,8,2,7
124,46,No,Frequently,638.0,Research & Development,1,Associate Degree,Medical,Satisfied,Male,40.0,Dissatisfied,Senior,Healthcare Representative,Not Satisfied at all,Married,10673.0,2,Yes,13,Satisfied,Satisfied,Basic,21,5,Dissatisfied,10,9,9,5
125,32,No,Rarely,1093.0,Sales,6,Bachelor's Degree,Medical,Dissatisfied,Male,87.0,Satisfied,Junior,Sales Executive,Satisfied,Single,5010.0,1,No,16,Satisfied,Not Satisfied at all,Unvested,12,0,Satisfied,11,8,5,7
126,54,No,Rarely,1217.0,Research & Development,2,Bachelor's Degree,Technical Degree,Not Satisfied at all,Female,60.0,Satisfied,Senior,Research Director,Satisfied,Married,13549.0,9,No,12,Satisfied,Not Satisfied at all,Basic,16,3,Not Satisfied at all,4,3,0,3
128,24,No,Rarely,1353.0,Sales,3,Basic Education,Other,Not Satisfied at all,Female,33.0,Satisfied,Junior,Sales Executive,Satisfied,Married,4999.0,0,No,21,Delighted,Not Satisfied at all,Basic,4,2,Dissatisfied,3,2,0,2
129,36,No,Non,120.0,Sales,4,Associate Degree,Medical,Dissatisfied,Male,43.0,Satisfied,Junior,Sales Executive,Satisfied,Married,4221.0,1,No,15,Satisfied,Dissatisfied,Unvested,5,3,Delighted,5,4,0,4
131,58,No,Rarely,682.0,Research & Development,10,Bachelor's Degree,Medical,Delighted,Male,37.0,Satisfied,Manager,Sales Executive,Satisfied,Single,13872.0,0,No,13,Satisfied,Satisfied,Unvested,38,1,Dissatisfied,37,10,1,8
132,44,No,Non,489.0,Research & Development,23,Associate Degree,Medical,Dissatisfied,Male,67.0,Satisfied,Junior,Laboratory Technician,Dissatisfied,Married,2042.0,4,No,12,Satisfied,Satisfied,Basic,17,3,Delighted,3,2,1,2
133,37,Yes,Rarely,807.0,Human Resources,6,Bachelor's Degree,Human Resources,Satisfied,Male,63.0,Satisfied,Entry Level,Human Resources,Not Satisfied at all,Unknown,2073.0,4,No,22,Delighted,Delighted,Unvested,7,3,Satisfied,3,2,0,2
134,32,No,Rarely,827.0,Research & Development,1,No Formal Education,Life Sciences,Delighted,Male,71.0,Satisfied,Entry Level,Research Scientist,Not Satisfied at all,Single,2956.0,1,No,13,Satisfied,Delighted,Unvested,1,2,Satisfied,1,0,0,0
137,20,Yes,Frequently,871.0,Research & Development,6,Associate Degree,Life Sciences,Delighted,Female,66.0,Dissatisfied,Entry Level,Laboratory Technician,Delighted,Single,2926.0,1,Yes,18,Satisfied,Dissatisfied,Unvested,1,2,Satisfied,1,0,1,1
138,34,No,Rarely,665.0,Research & Development,6,Bachelor's Degree,Other,Not Satisfied at all,Female,41.0,Satisfied,Junior,Research Scientist,Satisfied,Single,4809.0,1,No,14,Satisfied,Satisfied,Unvested,16,3,Satisfied,16,13,2,10
139,37,No,Non,1040.0,Research & Development,2,Basic Education,Life Sciences,Satisfied,Male,100.0,Dissatisfied,Junior,Healthcare Representative,Delighted,Divorced,5163.0,5,No,14,Satisfied,Delighted,Basic,17,2,Delighted,1,0,0,2
140,59,No,Non,1420.0,Human Resources,2,Bachelor's Degree,Human Resources,Satisfied,Female,32.0,Dissatisfied,Executive,Manager,Delighted,Married,18844.0,9,No,21,Delighted,Delighted,Basic,30,3,Satisfied,3,2,2,2
141,50,No,Frequently,1115.0,Research & Development,1,Associate Degree,Life Sciences,Not Satisfied at all,Female,73.0,Satisfied,Executive,Research Director,Dissatisfied,Married,18172.0,3,Yes,19,Satisfied,Not Satisfied at all,Unvested,28,1,Dissatisfied,8,3,0,7
